Week,Snail,Infected,Food,Length,Eggs,C_Eggs,Cerc,C_Cercs,Alive
1,1,Y,3 week,5.4,0,0,0,0,1
2,1,Y,3 week,6.7,0,0,0,0,1
3,1,Y,3 week,6.8,0,0,0,0,1
4,1,Y,3 week,6.8,0,0,106,106,1
5,1,Y,3 week,7.2,0,0,423.34,529,1
6,1,Y,3 week,7.2,0,0,200,729,1
7,1,Y,3 week,7.2,0,0,42,771,1
8,1,Y,3 week,7.2,,,,,0
9,1,Y,3 week,,,,,,0
10,1,Y,3 week,,,,,,0
11,1,Y,3 week,,,,,,0
12,1,Y,3 week,,,,,,0
13,1,Y,3 week,,,,,,0
14,1,Y,3 week,,,,,,0
1,2,Y,3 week,4.7,0,0,0,0,1
2,2,Y,3 week,5.6,0,0,0,0,1
3,2,Y,3 week,5.6,0,0,0,0,1
4,2,Y,3 week,5.8,0,0,99,99,1
5,2,Y,3 week,6.2,0,0,364.35,463,1
6,2,Y,3 week,6.4,0,0,281.07,744,1
7,2,Y,3 week,6.4,0,0,5,749,1
8,2,Y,3 week,6.4,0,0,0,749,1
9,2,Y,3 week,6.3,,,,,0
10,2,Y,3 week,,,,,,0
11,2,Y,3 week,,,,,,0
12,2,Y,3 week,,,,,,0
13,2,Y,3 week,,,,,,0
14,2,Y,3 week,,,,,,0
1,3,Y,3 week,5.5,0,0,0,0,1
2,3,Y,3 week,6.9,0,0,0,0,1
3,3,Y,3 week,7.3,0,0,0,0,1
4,3,Y,3 week,7.4,0,0,41,41,1
5,3,Y,3 week,7.9,0,0,440.69,482,1
6,3,Y,3 week,8,0,0,126,608,1
7,3,Y,3 week,8.2,0,0,33,641,1
8,3,Y,3 week,8.4,0,0,141,782,1
9,3,Y,3 week,8.3,0,0,186,968,1
10,3,Y,3 week,8.4,0,0,155,1123,1
11,3,Y,3 week,8.5,0,0,374.76,1497,1
12,3,Y,3 week,8.6,0,0,530.91,2028,1
13,3,Y,3 week,8.9,0,0,496.21,2525,1
14,3,Y,3 week,9,0,0,430.28,2955,1
1,4,Y,3 week,5.4,0,0,0,0,1
2,4,Y,3 week,6.1,0,0,0,0,1
3,4,Y,3 week,7.1,0,0,0,0,1
4,4,Y,3 week,7.3,0,0,249.84,250,1
5,4,Y,3 week,7.5,0,0,916.08,1166,1
6,4,Y,3 week,7.6,0,0,537.85,1704,1
7,4,Y,3 week,7.9,0,0,30,1734,1
8,4,Y,3 week,8,0,0,496.21,2230,1
9,4,Y,3 week,8.2,0,0,784.22,3014,1
10,4,Y,3 week,8.2,0,0,711.35,3726,1
11,4,Y,3 week,8.3,0,0,687.06,4413,1
12,4,Y,3 week,8.4,0,0,253.31,4666,1
13,4,Y,3 week,8.8,0,0,919.55,5585,1
14,4,Y,3 week,9.2,0,0,1977.9,7563,1
1,5,Y,3 week,5.5,0,0,0,0,1
2,5,Y,3 week,6.8,0,0,0,0,1
3,5,Y,3 week,7.1,0,0,0,0,1
4,5,Y,3 week,7.5,0,0,94,94,1
5,5,Y,3 week,7.9,0,0,662.77,757,1
6,5,Y,3 week,7.9,0,0,194,951,1
7,5,Y,3 week,8.1,0,0,24,975,1
8,5,Y,3 week,8.1,0,0,109,1084,1
9,5,Y,3 week,8.2,0,0,182,1266,1
10,5,Y,3 week,8.2,0,0,617.66,1883,1
11,5,Y,3 week,8.2,0,0,119,2002,1
12,5,Y,3 week,8.2,0,0,126,2128,1
13,5,Y,3 week,8.5,0,0,600.31,2729,1
14,5,Y,3 week,8.9,0,0,798.1,3527,1
1,7,Y,3 week,5.4,0,0,0,0,1
2,7,Y,3 week,6.5,0,0,0,0,1
3,7,Y,3 week,6.8,0,0,0,0,1
4,7,Y,3 week,6.9,0,0,126,126,1
5,7,Y,3 week,7.4,0,0,541.32,667,1
6,7,Y,3 week,7.3,0,0,246.37,914,1
7,7,Y,3 week,7.5,0,0,19,933,1
8,7,Y,3 week,7.5,0,0,160,1093,1
9,7,Y,3 week,7.5,0,0,106,1199,1
10,7,Y,3 week,7.7,0,0,174,1373,1
11,7,Y,3 week,7.7,0,0,149,1522,1
12,7,Y,3 week,7.7,0,0,1,1523,1
13,7,Y,3 week,7.6,,,,,0
14,7,Y,3 week,,,,,,0
1,8,Y,3 week,5.1,0,0,0,0,1
2,8,Y,3 week,6.7,0,0,0,0,1
3,8,Y,3 week,6.9,0,0,0,0,1
4,8,Y,3 week,6.8,0,0,926.49,926,1
5,8,Y,3 week,6.9,0,0,468.45,1395,1
6,8,Y,3 week,7.3,0,0,225.55,1620,1
7,8,Y,3 week,7.3,0,0,24,1644,1
8,8,Y,3 week,7.3,0,0,55,1699,1
9,8,Y,3 week,7.3,0,0,0,1699,1
10,8,Y,3 week,7.3,,,,,0
11,8,Y,3 week,,,,,,0
12,8,Y,3 week,,,,,,0
13,8,Y,3 week,,,,,,0
14,8,Y,3 week,,,,,,0
1,11,Y,3 week,5.3,0,0,0,0,1
2,11,Y,3 week,6,0,0,0,0,1
3,11,Y,3 week,6.4,0,0,0,0,1
4,11,Y,3 week,6.3,0,0,582.96,583,1
5,11,Y,3 week,6.7,0,0,102,685,1
6,11,Y,3 week,6.6,0,0,0,685,1
7,11,Y,3 week,6.3,0,0,0,685,1
8,11,Y,3 week,6.3,0,0,0,685,1
9,11,Y,3 week,,,,,,0
10,11,Y,3 week,,,,,,0
11,11,Y,3 week,,,,,,0
12,11,Y,3 week,,,,,,0
13,11,Y,3 week,,,,,,0
14,11,Y,3 week,,,,,,0
1,12,Y,3 week,5.5,0,0,0,0,1
